,data
30,"✅ Trip Verified |  We had a flight AI127 from New Delhi to Chicago on June 2023. I was accompanied with my 5 year old daughter. My daughter was super excited to go to USA and she said I will watch TV and play games to kill the time since she is not comfortable with long travel. Our seat number was good. To our shock, the seat was completely broken, no headphones were working, the touch was off and the button to adjust the seat was also broken. So, just imagine how does it feel when you are told that you have to sit in upright position for next 14 hours. I am taking Air India off my list now, never ever travelling back in Air India again. We complained to the Air Hostess, she said, ""Yeah can't help it, I will reboot the system, there might be some technical glitch or let me find some other seat for you"" but she did not do anything. I felt like jumping off the flight, my daughter was crying for the screen to play some games but I was so helpless. Air hostess doesn’t have a smiley face, they were in a angry face and we couldn’t feel to ask anything if we need."
31,"✅ Trip Verified | Worst inflight experience I’ve ever had. TV Screens not working nor there is a facility to call crew, seats are broken and the food served was pathetic. Had to wait for 3/4 hours to get even water during flight. Heard Bad reviews about Air India before and thought there will be improvements after Its acquired by Tata but no difference. Never travel again if possible completely avoid."
32,"✅ Trip Verified | Air India has very poor customer service onboard the aircraft. No flight attendant came to even offer water after 3-4 hours. Snacks were given before the beginning of the flight. In 14 hours of the flight only 1 time a meal was provided, there was also no warm food. Customer service is getting worse day by day. Everyone expected that since Mr. Ratan Tata took over Air India, he would make necessary steps to improve customer service, make flight tickets more reasonable and improvements in aircraft interior including TV screens in front of the seats but unfortunately nothing has improved. It is disappointing. At the airport after checking in for the international flight from Delhi to Toronto, my mother-in-law was harassed for return flight which was not booked at that time. Couple of staff members of the STAR ALLIANCE harassed her and took her boarding pass and refused to let her go to board on flight 45min before the departure of the flight to Toronto. I do not understand who gives airlines (Air India or Star Alliance) authority to ask for passengers return flight? This is ridiculous and I hope my message reaches the right authority in India to take necessary steps to stop such nonsense behavior at the airport. If I still had option for travelling with Jet Airways, I would never ever travel with Air India. Sadly, Jet Airways is no longer active."
33,"Not Verified |  Good experience overall. Positives: Great leg room for the long flight. Warm staff, higher check-in limits (25Kg) and smooth landing. Areas of Improvement: Food could be a tad better (but its still decent), Punctuality."
34,"✅ Trip Verified |  I had a bad experience flying Air India, My flight from JFK to Bangalore with 2 hours Lay over at Mumbai. Ticket was booked 30 days in advance . 1 day before my journey Airindia cancelled my connecting flight from Mumbai to Bangalore and scheduled next flight which is after 16 hours, when asked customer service all i get a response stating flight is cancelled because of technical reason. When asked to change the itinerary they want me to pay extra amount for seat. This is absolutely ridiculous where they have no remorse on their mistake and hardly any empathy on customer inconvenience caused by them. This is my last time flying Air India"
35,"✅ Trip Verified | Can an airline be this inefficient! From beginning to end! AI has given nothing but lousy service and that is being generous. I landed in Delhi at 11pm and my plane to Toronto was supposed to leave at 3.35am. They said that it was delayed and will start at 5am. The staff made a big show of checking documents which started at 3.30am. Our documents were checked three times at least. Just to kill time and to make a show that something was being done! There was no order to the boarding! We boarded around 4 am and now it’s 7am and we are still sitting on the plane- a closed space, with people coughing. In 3 hours no water was even served and besides the initial announcement no updates to the passengers. We are being treated as cattle and not human beings. There’s no courtesy of keeping us in the loop. This is a broken down plane. Nothing works. For a 14 1/2 hour non-stop flight, there’s no entertainment. Honestly, at this point I wonder if I will get where I need to get, alive and in one piece. AI is playing with our lives and is being extremely disrespectful of our time. We have lives and jobs to get to and there’s a reason we plan a trip. This is the second time I have flown AI in 6 months, for lack of finding any other airline and this is the second time I’ve sat in the plane for 4 hours while technical issues are being dealt with! I would give this negative stars if the option were available!"
36,"✅ Trip Verified | Had a wonderful experience flying with Air India business class flight to Cochin. The crew were extremely welcoming. Service was to the best standard and we reached cochin earlier than the arrival time. I felt I should take time out to thank the lovely ladies Jeneeta and Aanchal who made the flying experience comfortable. Aanchal helped me with the breakfast, her presentation and confidence was worth a praise. Jeneeta (Apologies if the name is misspelled), was caring and helped with patiently with my charging issue. Overall I'm highly impressed with my flying experience with Air India and also booked my return tickers to Sydney with them."
37,Not Verified | We at 6.45 am are still waiting for the cabin crew to arrive for the flight which was supposed to board by 5.10 am. The cabin crew not arrived yet. This has caused a suffering to so many passengers. All of us are stuck because of the captain and his crew members. Can the Air India never improve?
38,"Not Verified |  Worst flight experience, which includes boarding airport service etc. Even if you have to pay extra dollars please prefer to use any other airlines. Never had this flight experience anywhere before. Poor customer care, grumpy hostess, unhygienic food. They don’t care about passengers."
39,"Not Verified | The flight was great! The staff were extremely kind and helpful, the entertainment system were very easy-to-use and the food was really good as well. The inside of the flight was very nice (All Air India flights are being renovated to match or be even better than the likes of Emirates and Qatar Airways). This was one of the best flights I have been on, better than British Airways, Etihad and tied to Lufthansa."
40,"Not Verified | My flight from Dubai to Delhi on 13th June was horrendous, flight was delayed for 2 hours. I'm okay with delay but when we started boarding they were checking our hand luggage weight and supposedly it has to be 8 kgs at Max but they allowed 12 kgs to go through as well. When I sat on my allocated seat my IFE system wasn't working. Not only for me but the column 30-40 ABC. Our hostess were not professional. The food was served 45 mins before landing as they ran out of food. All in all the worst flight experience with Air India for me."
41,"Not Verified | One can keep writing a negative review endlessly if unluckily he has traveled by Air India, but I'll keep it short, and here is my review: The flight was delayed by 5 hours. Passengers were barred from entering the airport building as the flight was delayed to avoid overcrowding and a makeshift counter without personnel was arranged and of course without a proper seating facility. There were hardly 15 chairs for more than 100 people. As it is summer in Saudi Arabia the temperature outside was around 40 degrees Celsius. The airline representative appeared once in a while and responded rudely to any queries on flight status. Experience inside the plane is another horrible experience. We felt like we were in an airplane just because it was flying. Other than that it is comparable to local buses in developing countries. Seats were small and uncomfortable even with economy standards. Regarding the food, I bet it cannot be any cheaper than what was served. I have pledged not to travel with Air India anymore. Best of luck to those who still want to try flying with Air India."
42,"Not Verified | No proper response from any of the staff. Hiding all the information about flight timings. Flight got delayed for more than 14 hours. After entering into flight again a delay of one more hour for the staff to come. And the passengers with connecting international flight from Mumbai suffered a lot because of these delays. One sincere and humble request from passengers please change your staff or train your staff but please don't trouble the passenger ENTIRE NIGHT SPENT ON AIRPORT, CHANGED GATE 7 TIMES. Cancelled the flight after making us wait for 7 (till 3 am  hours whereas people who had not checked in were informed at 10 only and told to come for morning flight/we were subsequently shifted to the morning flight at 5.10, which took off at 8. Third rate airline with third rate staff. Infants and old people were really suffering - book at your peril"
43,"✅ Trip Verified |  Ground support - good Lounge - good Boarding - bit messy (mainly because some people do not follow boarding instructions Welcome - friendly Seats - 2-2 , no flat bed, limited recline, less leg space (well, I am 183 cm), no in-seat entertainment Service - good ( excellent work) Recommend - not really"
44,"Not Verified | Ground staff - fantastic (managed by DNATA) Lounge - no (under renovation). Voucher provided for F&B outlets but not honored by any of the outlets. Boarding - normal. No hassle Welcome - warm and friendly Seat - 1F Pro - flat bed, TUMI amenity bag, slippers, sleepwear, Cons - poor condition of seats ( maintenance) damaged power sockets, Screen size comparable to economy class, poor selection of programs, no storage space in and around the seat, Food - good Staff - super efficient and friendly Lesson - new route doesn’t mean new aircraft!! Return - probably when the new aircraft’s are deployed"
45,✅ Trip Verified |  One of the worst flight experiences in my history.  A 15 hour flight without In Flight entertainment. It is unimaginable in 2023. If the screen works the audio does not work and Vice versa. I pre booked my seats and they would sit us separately saying your flight is canceled and told us to sit where they allot us as if they are doing us a favor. There was no WiFi in the flight. 
46,"Not Verified |  Shame on Air India. Continuous 7 hours delay, Mumbai to Bangalore flight. At first it was scheduled at 17:55 & now to 22:40. Never ever i have experienced such poor service from any airline. Air India should learn from IndiGo, about customer loyalty & service's."
47,"✅ Trip Verified | Worst airline. Very poor flight management. Poor communication with passengers inside the airport. No body to take any responsibility, acting like children, only they are getting in a panic instead of being efficient. Please try to increase your on time, communication with passengers, give steady answers to passengers. Disappointed regarding flight AI573, 12/6/2023, flight has unconditional delay. Nobody knows why."
48,✅ Trip Verified |  The seats broken. Entertainment not working. The switch to call attendant not working. Food quality horrible. Booked food as Jain meal not provided as given to someone else. Wrong information given by crew for luggage belt.
49,"✅ Trip Verified |  As an Indian national, I can tell this is the worst flight experience I ever have. Seat front Tv was not working for the whole flight for all the way for 15 hrs flight, the Hostess were not friendly and maybe as a Indian they don't care about us because we already bought a ticket. Seats arm rests were all wobbly not fixed."
50,Not Verified | No proper response from any of the staff. Hiding all the information about flight timings. Flight got delayed for more than 5 hours. After entering into flight again a delay of one more hour for the staff to come. And the passengers with connecting international flight from Mumbai suffered a lot because of these delays. One sincere and humble request from passengers please change your staff or train your staff but please don't trouble the passengers
51,"✅ Trip Verified |  This was a flight that I had to take early morning due to the alternatives having much higher fares especially over weekends. The check in for the flight and the ground experience was quite good and even the flight boarding started on time for what seemed to be like a 90-95% full flight. The staff at check-in offered me seat 4F at the front that had no other seats in front of them which resulted in extra legroom. Pushback started on time and once airborne the breakfast service commenced and I had opted for the non veg course that consisted of an omlette, chicken sausage with spinach and hash browns. along with a croissant and yoghurt. The meal itself was pretty good. However one thing that I had noticed which was not appreciated was the fact that the tray table was not properly cleaned. The landing happened on time and I had no difficulty in getting my luggage. Overall for the price that was paid, this was actually a very good flight. Thanks to the crew and team."
52,"✅ Trip Verified |  Worst experience ever. Staff don't even know how to talk to passengers. Never going to fly air India again. Air India is a waste of money, flights get delayed, worst experience ever."
53,Not Verified |  Worst experience ever. Coordination between ground staff and cabin staff is zero. My flight was planned to departure at 2215hrs right now im sitting inside the flight for almost one hour and did not even got a cup of water. Keep Air India as your last option. 
54,"Not Verified |  Check at Newark airport was good not issues but in plane in entertainment system was broken even usb charges were also broken actually most of them broken on plane seats were uncomfortable and broken. Staff was courteus. I had requested a wheel chair but at Mumbai Airport there were multiple wheel chair operators they told me stay asked somebody will take you shortly but nobody took me finally they told me please go up to the immigration counter somebody will be there to help you but nobody was there again. I was told to walk up to ramp to pick up your luggage, you will get wheel chair there again no body helped me there either since I have some health issues hardly I could pick up luggage and took it up to security by doing this I hurt my shoulder and back I was told to take up my luggage up to domestic terminal that was far away it’s really very poor service provided by Air India"
55,"✅ Trip Verified |  The flight from Toronto Was delayed by 13 hours - luckily we were informed by sms before hand. The flight was to leave from Toronto on 6th June at 1 a.m. When I went to business lounge on airport at 10:30 after security, they told us that the food counter will close in 10 min. and the lounge will close at 11 p.m. I asked them, what am I supposed to do till the gates are open, they said sit at the gate we can't help. Is this right? Am I not entitled for any compensation when my flight got delayed by 13 hrs? On 19th May 2023, I took a flight from DEL to YYZ, with my wife, 80% of the monitors in economy, business as well as first class were not working (flight time 15 hrs). Some seats were not reclining! We were in Business Class"
56,"Not Verified |  We 3 people (2 adults and 1 child) were travelling from London to Kochi via Delhi. We missed the flight 4am) from Delhi to Kochi because of our child was continuously vomiting and it was early morning 4am flight. But we reached airport little late (4:10am) they failed to arrange alternate flight for us and they told us to book new seats. They said you will get email after some time, as PNR is generated no issue. We trusted them and returned back to hotel. We didn't receive the email at all and we contacted the costumer service they also said its okay just go to airport and get the boarding pass. We went to airport little early (2am) with all our luggage, and child. When we arrived they said that in your name no seats book and all seats are full we cannot help you. We showed PNR number, they said but as you didn't get email we cant do anything. We went to manager of the Air India, she didn't show any interest in helping or solving the issue. We checked with other airlines. They had 2 seats, one seat like that so we had to book new tickets again with Vistara next day morning (3am) and we returned back to hotel again with all our bags (25kg bags, hand luggage) and child. Horrible service by Air India. Horrible staff members and irresponsible, non cooperative. They were all laughing making fun of each other and customers, no seriousness and no helping nature. It all happened in Delhi international airport. As we were confused and standing what to do, we were just observing them, they are so careless even for old people who are approaching them and they don't know the language Hindi or English. They are very careless they are not there for helping others they are not serious about their job. "
57,"✅ Trip Verified |  I boarded a flight from JFK to BOM on Monday, May 1st. The flight was scheduled to take off at 10:45 AM but was delayed until 5:20 PM (nearly 7 hours). Everyone had to deplane. Air India only provided each of us a $15 meal voucher for the long delay. On my way back to JFK from New Delhi on Thursday, May 18th at 2:20 AM, I asked an Air India check-in rep if he could upgrade me to business class. He said no because all the seats have already been taken. When I boarded and got off that flight, I saw that wasn't the case. I decided to submit a case on the Air India website and then was prompted to email [email protected]. I sent them an explanation on Friday, May 19th detailing all the inconvenience that was caused. Surprisingly, they replied to my email on the same day saying that they have ""shared details with the concerned airport"" and once they receive a response, they will get back to me.  I never received a response from them ever again. I requested a follow-up on May 29th, May 30th, and finally June 6th via email. I also called Air India on June 6th, but the rep kept asking me for my ticket number. I informed him that I've already flown and do not remember my ticket number. I asked him how I can find out this number. He didn't provide any assistance. Instead, he only repeated himself and decided to hang up. Very frustrating. I am appalled by the customer support team's lack of urgency and horrible service."
58,"Not Verified |  How bad airline service can be? We got a text message at 630 am today (June 5th) saying our flight for June 6th from JFK is delayed and all other connecting flights are moved as well - resulting in 24 hour delay. Email was sent with just two options - accept or cancel! So, called Orbitz (another useless service provider), they booked our flight to JFK-Mumbai - MAA and sent confirmation email etc all good. Then in 2 hours, we check, our tickets were cancelled.- including original booking! called Air India, nohelp - blamed Orbitz.. called Orbitz, same process again, rebooked, showed up in Air india, after 2 hours.. magic, ticket disappeared.  Air India - no help total failure to take care of customers and causing anxiety -- 24 hours before start of important trip.. will never book in AI ever again. "
